model,test,n_scored,n_total,q_sem,q_strict,ci_lo,ci_hi,coverage,note
qwen3:8b,HOME-01,12,24,1.0000,1.0000,1.0000,1.0000,0.500,
gemma3:12b,HOME-01,12,24,0.9861,0.0000,0.9722,1.0000,0.500,
qwen3:14b,HOME-01,12,24,0.9722,0.9722,0.9306,1.0000,0.500,
qwen3.5:4b,HOME-01,24,24,0.9444,0.9444,0.9097,0.9722,1.000,
mistral-nemo:12b,HOME-01,12,24,0.9236,0.9236,0.8542,0.9792,0.500,
llama3.1:8b,HOME-01,24,24,0.8854,0.8854,0.8507,0.9201,1.000,
aya-expanse:8b,HOME-01,24,24,0.8576,0.8576,0.8160,0.8958,1.000,
qwen3:1.7b,HOME-01,24,24,0.8507,0.8507,0.8090,0.8924,1.000,
lfm2.5:8b,HOME-01,24,24,0.8333,0.8333,0.7396,0.9097,1.000,
deepseek-r1:8b,HOME-01,12,24,0.8056,0.6389,0.5694,0.9861,0.500,
phi4-mini:latest,HOME-01,24,24,0.7951,0.0000,0.7361,0.8507,1.000,
command-r7b:7b,HOME-01,12,24,0.7778,0.6389,0.7083,0.8472,0.500,
bge-m3:latest,HOME-01,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
functiongemma:270m,HOME-01,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
glm-ocr:latest,HOME-01,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite-code:8b-instruct,HOME-01,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite3.2-vision:2b,HOME-01,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama-guard3:8b,HOME-01,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nomic-embed-text:latest,HOME-01,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nuextract:3.8b,HOME-01,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5-coder:7b,HOME-01,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5vl:7b,HOME-01,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
reader-lm:1.5b,HOME-01,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
sqlcoder:7b,HOME-01,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
bge-m3:latest,HOME-02,40,40,0.9234,0.9234,0.8879,0.9566,1.000,
aya-expanse:8b,HOME-02,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
command-r7b:7b,HOME-02,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
deepseek-r1:8b,HOME-02,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
functiongemma:270m,HOME-02,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
gemma3:12b,HOME-02,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
glm-ocr:latest,HOME-02,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite-code:8b-instruct,HOME-02,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite3.2-vision:2b,HOME-02,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
lfm2.5:8b,HOME-02,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama-guard3:8b,HOME-02,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama3.1:8b,HOME-02,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
mistral-nemo:12b,HOME-02,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nomic-embed-text:latest,HOME-02,0,40,,,,,0.000,UNSUPPORTED_CAPABILITY
nuextract:3.8b,HOME-02,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
phi4-mini:latest,HOME-02,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5-coder:7b,HOME-02,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5vl:7b,HOME-02,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3.5:4b,HOME-02,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3:1.7b,HOME-02,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3:14b,HOME-02,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3:8b,HOME-02,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
reader-lm:1.5b,HOME-02,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
sqlcoder:7b,HOME-02,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
deepseek-r1:8b,HOME-03,10,16,1.0000,0.3000,1.0000,1.0000,0.625,
gemma3:12b,HOME-03,10,16,1.0000,0.0000,1.0000,1.0000,0.625,
lfm2.5:8b,HOME-03,16,16,0.9375,0.9375,0.8125,1.0000,1.000,
llama3.1:8b,HOME-03,16,16,0.9375,0.9375,0.8125,1.0000,1.000,
mistral-nemo:12b,HOME-03,10,16,0.9000,0.9000,0.7000,1.0000,0.625,
qwen3:8b,HOME-03,10,16,0.9000,0.9000,0.7000,1.0000,0.625,
aya-expanse:8b,HOME-03,10,16,0.8000,0.1000,0.6000,1.0000,0.625,
qwen3:14b,HOME-03,10,16,0.8000,0.8000,0.5000,1.0000,0.625,
qwen3.5:4b,HOME-03,16,16,0.7500,0.7500,0.5000,0.9375,1.000,
qwen3:1.7b,HOME-03,16,16,0.6875,0.6875,0.4375,0.8750,1.000,
phi4-mini:latest,HOME-03,16,16,0.5625,0.5625,0.3125,0.8125,1.000,
command-r7b:7b,HOME-03,16,16,0.0000,0.0000,0.0000,0.0000,1.000,
bge-m3:latest,HOME-03,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
functiongemma:270m,HOME-03,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
glm-ocr:latest,HOME-03,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite-code:8b-instruct,HOME-03,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite3.2-vision:2b,HOME-03,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama-guard3:8b,HOME-03,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nomic-embed-text:latest,HOME-03,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nuextract:3.8b,HOME-03,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5-coder:7b,HOME-03,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5vl:7b,HOME-03,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
reader-lm:1.5b,HOME-03,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
sqlcoder:7b,HOME-03,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
lfm2.5:8b,HOME-04,12,12,0.9167,0.9167,0.7500,1.0000,1.000,
qwen3:1.7b,HOME-04,12,12,0.8333,0.8333,0.5833,1.0000,1.000,
qwen3:8b,HOME-04,6,12,0.6667,0.6667,0.3333,1.0000,0.500,
phi4-mini:latest,HOME-04,12,12,0.5833,0.5833,0.3333,0.8333,1.000,
gemma3:12b,HOME-04,6,12,0.5000,0.5000,0.1667,0.8333,0.500,
deepseek-r1:8b,HOME-04,12,12,0.3333,0.3333,0.0833,0.5833,1.000,
qwen3.5:4b,HOME-04,12,12,0.1667,0.1667,0.0000,0.4167,1.000,
qwen2.5-coder:7b,HOME-04,6,12,0.1667,0.1667,0.0000,0.5000,0.500,
llama3.1:8b,HOME-04,6,12,0.0000,0.0000,0.0000,0.0000,0.500,
mistral-nemo:12b,HOME-04,6,12,0.0000,0.0000,0.0000,0.0000,0.500,
aya-expanse:8b,HOME-04,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
bge-m3:latest,HOME-04,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
command-r7b:7b,HOME-04,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
